FirstName,LastName,BarName,
Tanner,Luna,Dutch Kills,
Devin,Munoz,Everson Royce Bar,
Theodore,Rosales,Square Grouper Tiki Bar,
Daisy,Raymond,Slowly Shirley,
Payton,Cook,Bar Goto,
Madeleine,Compton,Club 175,
Maeve,Kerr,Barnacle Bar,
Ellie,Jackson,Distil,
Enzo,Rollins,Club 175,
Jonah,Nelson,Dram & Grain,
Gemma,Torres,Mai Tai Bar,
Matthias,Lamb,Spilt Milk,
Adaline,Arnold,Club 175,
Summer,Gamble,Coconut Willie's Cocktail Lounge,
Scott,Reeves,ROKC,
Kenzie,Hogan,Cabana,
Rowen,Mosley,Cabana,
Adam,Manning,Galaxie,
David,Mendez,Diamond Reef,
Tyson,Baker,Bit House Saloon,
Raegan,Rowe,Gecko Grill,
Kaitlyn,Mccullough,Leyenda,
Lyric,Boyle,McMahon's Public House,
Alivia,Stein,Raven & Rose,
Kyrie,Ayala,Bar Goto,
Kade,Yang,Red Key Tavern,
Walter,Hurst,The Whining Pig,
Gregory,Houston,Range,
Aidan,Lucero,Kask,
Anastasia,Johnston,Tiki-Ti ,
Kasen,Duke,Seven Bamboo,
Hayes,Wagner,Britannia Arms,
Enzo,Rollins,Club 175,
Miguel,Moran,Il Fornaio,
William,Ramos,Tiki-Ti ,
King,Mcguire,Mace ,
Skyler,Jennings,Club No Minors,
Emersyn,Goodwin,Billy Sunday,
Lukas,Benson,Tiki-Ti ,
Royalty,Rivera,Altitude Sky Lounge,
Corey,Bennett,Range,
Annabella,Burke,The Hawthorne,
Kaylee,Rubio,The Velvet Tango Room,
Harlow,White,Vesper Bar,
Walter,Hurst,The Whining Pig,
Phoenix,Olsen,Seamstress,
Nathan,Shea,The Alembic,
Brooklynn,Watkins,The Whining Pig,
Tanner,Luna,Dutch Kills,
Louis,Harvey,The Velvet Tango Room,
Tate,Jimenez,Dram & Grain,
Erik,Thomas,Death + Company,
Tanner,Cherry,Club 175,
Aubree,Mcclain,Half Step,
Maddison,Wilkerson,Occidental,
Henry,Sweeney,A.P. Stump's,
Lennox,Blake,Sazerac Bar,
Isabel,Le,The Upstairs Bar at City Grocery,
Payton,Cook,King Cole Bar,
Rowen,Chang,Sassafras Saloon,
Jordan,Mccarty,Half Step,
Genesis,Lynch,Blue Angel,
Antonio,Barrera,Hedley Club,
Zachary,Allison,The Velvet Tango Room,
Haven,Brady,Blue Tattoo,
Everly,Wilkerson,The Blank Club,
Jonah,Nelson,Dram & Grain,
Valeria,Olsen,Galaxie,
Rowan,Gay,Spirit,
Allen,Cantrell,Gecko Grill,
Samantha,Trevino,Bar Goto,
Trinity,Wilkerson,Coconut Willie's Cocktail Lounge,
Rowen,Chang,Half Step,
Regina,Cardenas,Leyenda,
Margaret,Lowe,Range,
Mariah,Day,Eulipia,
Isaiah,Mckee,Blackberry Farm,
Louis,Harvey,Giza Hookah Lounge,
Holly,Bates,The Blank Club,
Joshua,Clarke,Blackberry Farm,
Edgar,Ballard,Cabana,
Jordan,Mccarty,The Capital Bar & Grill,
Jenna,Alvarez,Anvil Bar & Refuge,
Braylen,Cameron,The Capital Bar & Grill,
Kaydence,Rowland,Club 175,
Holden,Good,Holeman & Finch Public House,
Haven,Tyler,Leyenda,
Ismael,Boyd,A.P. Stump's,
Gerardo,Velasquez,Bar Crudo ,
Leighton,Rasmussen,Slowly Shirley,
Harrison,Ali,The Dubliner,
Cayden,Walls,Leyenda,
Stephen,Cohen,Daquiri Time Out,
Kaleb,Valencia,Mai Tai Bar,
Aylin,Cobb,BlackTail,
Emanuel,Cross,Voodoo,
Heaven,Green,PX,
Xander,Stout,Cabana,
Garrett,Chan,Club 175,
Donald,Hines,Hedley Club,
Emma,Gilmore,Salty Dawg Saloon,
Hendrix,Mcgrath,33 Taps,
Kinley,Benjamin,Molly's Shebeen,
Jordan,Holt,The Carousel Bar & Lounge,
Rachel,Hall,Holeman & Finch Public House,
Rory,Wilson,Dutch Kills,
Edward,Parks,Club No Minors,
Daphne,Mata,33 Taps,
Rowen,Chang,Half Step,
Elaina,Shaw,Molly's Shebeen,
Ryan,Kelley,Club 175,
Zoey,Shaffer,Death + Company,
Erick,Patrick,Hedley Club,
Rachel,Nielsen,Hedley Club,
Alyssa,Summers,Half Step,
Felix,Haley,Prizefighter,
Nathan,Colon,The Magdalenae Room,
Zaiden,Valdez,The Whining Pig,
Zion,Gallegos,The Bella Union,
Vanessa,Bonilla,Broken Shaker,
Evelyn,Ford,The Violet Hour,
Grace,Guzman,Old Ebbitt Grill,
Everleigh,Jefferson,Anvil Bar & Refuge,
Victor,Lester,Club 175,
Fabian,Avery,Club 175,
Phoenix,Olsen,Mace ,
Tessa,Blair,Weather Up,
Ariyah,Merritt,The Blank Club,
Lucia,Willis,Tiki-Ti ,
Colt,Hooper,BlackTail,
Atticus,Schmidt,Range,
Fatima,Herman,Britannia Arms,
Camden,Mcgrath,The Dead Rabbit,
Amiyah,Chapman,A.P. Stump's,
Annabelle,Tian,Clover Club,
Barrett,Espinoza,Cabana,
Melany,Castillo,Club No Minors,
Lane,Hahn,Holeman & Finch Public House,
Nylah,Vang,Prairie School,
Josie,Schaefer,The Velvet Tango Room,
Karter,Romero,The Whining Pig,
Lia,Hood,Social,
Vanessa,Matthews,The Hawthorne,
Mary,Bennett,Social,
Phoenix,Todd,Slowly Shirley,
Rylan,Vance,McMahon's Public House,
Regina,Warren,Cabana,
Landon,Wilson,Spilt Milk,
Anastasia,Johnston,The Wayland,
Malaysia,Mcgrath,The Kill Devil Club,
Lilliana,Arnold,King Cole Bar,
Rowen,Chang,The Capital Bar & Grill,
Chelsea,Lewis,The Velvet Tango Room,
Lia,Mills,Dutch Kills,
Hayden,Mcfarland,Barnacle Bar,
Angel,Fox,Anvil Bar & Refuge,
Ariana,Harvey,Eulipia,
Amara,Raymond,Hedley Club,
Kaia,Holmes,Club 175,
Molly,Roberts,French 75,
Amari,Duffy,Club 175,
Piper,Hensley,Employees Only,
Albert,Salazar,Dante,
Ruth,Cox,Sassafras Saloon,
Eva,Manning,Spilt Milk,
Zayden,Camacho,Spirit,
Kyla,Medina,Distil,
Christopher,Anthony,Blackberry Farm,
King,Michael,Employees Only,
Zayden,Camacho,Gecko Grill,
Kaden,Chapman,Sassafras Saloon,
Rachel,Hall,Holeman & Finch Public House,
Nyla,Kerr,Tiki-Ti ,
Laura,Mccann,Julep,
Carmen,Guzman,Club 175,
Dawson,Castro,Slowly Shirley,
Christina,Vang,Gecko Grill,
Zara,Hickman,The Dead Rabbit,
Lincoln,Finley,Dutch Kills,
Laura,Mccann,Dutch Kills,
Diana,Hays,Broken Shaker,
Kai,Guerra,Spirit,
Oscar,Lutz,33 Taps,
Wren,Mckenzie,Bar Crudo ,
Zoey,Nielsen,Coconut Willie's Cocktail Lounge,
Iris,Park,The Backbeat,
Zoey,Shaffer,Spilt Milk,
Kaleb,Shepherd,Eulipia,
Skyler,Jennings,Club No Minors,
Marley,Gomez,Cabana,
Albert,Salazar,Proof,
Lilah,Rivers,Prizefighter,
Sarah,Harrington,BackBar,
Rachel,Nielsen,Hedley Club,
Aria,Hogan,Donna,
Evangeline,Lucas,Blackberry Farm,
Rory,Booth,Everson Royce Bar,
Dominick,Gaines,Bit House Saloon,
Leonidas,Hoffman,Anvil Bar & Refuge,
Braelyn,Nielsen,The Wayland,
Malachi,Huang,No Vacancy at the Juniper Hotel,
Catalina,Fry,Clyde Common,
Ezra,Grimes,Taste by Niche,
Sarah,Harrington,Room 11,
Liana,Mcgee,George & Dragon,
Christopher,Valdez,The Dead Rabbit,
Carly,Shah,Weather Up,
Sullivan,Benson,Dante,
Jackson,Howe,Blue Angel,
Stella,Casey,Barnacle Bar,
Yaretzi,Turner,Academia,
Malik,Brady,Coconut Willie's Cocktail Lounge,
Kayleigh,Herman,Million Dollar Cowboy Bar,
King,Mcguire,Mace ,
Bianca,Kramer,Club 175,
Sergio,Reeves,Prizefighter,
Ronan,Schaefer,Employees Only,
Valerie,Hinton,Goodnight Gracie Jazz & Martini Bar,
Tobias,Mccarty,The Silver Dollar,
Camden,Mcgrath,No Vacancy at the Juniper Hotel,
Remington,Cowan,The Silver Dollar,
Ashton,Fox,Employees Only,
Kyrie,Daniel,The Velvet Tango Room,
Brooklynn,Watkins,Billy Sunday,
Emmett,Pittman,Attaboy,
Melany,Bell,Coconut Willie's Cocktail Lounge,
Kasen,Duke,Eulipia,
Royalty,Rivera,Eulipia,
Lyric,Bradford,Attaboy,
Wren,Mckenzie,Eulipia,
Malaysia,Dickson,The Sound Table,
Emely,Howe,Hedley Club,
Scarlett,Douglas,Diamond Reef,
Malachi,Huang,The Dead Rabbit,
Braelyn,Valentine,Mace ,
Jenna,Alvarez,Anvil Bar & Refuge,
Julianna,Dillon,Polite Provisions,
Amiyah,Chapman,A.P. Stump's,
Atticus,Zhang,Dante,
Everleigh,Shepard,Room 11,
Enzo,Harris,Marvel Bar,
Landon,Cole,Distil,
Hannah,Berger,The Blank Club,
Fabian,Avery,Club 175,
Lukas,Benson,The Wayland,
Aidan,Lucero,Taste by Niche,
Zaiden,Little,The Upstairs Bar at City Grocery,
Bryce,Shields,Barnacle Bar,
Walter,Gill,The Old Seelbach Bar,
Wren,Jennings,Clyde Common,
Miguel,Mueller,Milk Room,
Sienna,Serrano,The Dead Rabbit,
Anaya,Zuniga,The Backbeat,
Kensley,Castro,Leyenda,
Josie,Schaefer,ROKC,
Margaret,Lowe,Range,
Ian,Valdez,Sweet Liberty,
Adelyn,Dyer,Eulipia,
Mabel,Gay,Mace ,
Charlee,Swanson,Daquiri Time Out,
Diego,Acosta,Salty Dawg Saloon,
Elaina,Gonzalez,Spilt Milk,
Isabel,Le,The Upstairs Bar at City Grocery,
Kaylee,Rubio,BlackTail,
Caleb,Tian,Tiki-Ti ,
Maryam,Powell,The Backbeat,
Jack,Mccormick,Distil,
Jasper,Richards,Weather Up,
Angelina,Patrick,Barnacle Bar,
Damian,Franklin,Mace ,
Lucy,Odom,Spirit,
Landen,Sullivan,33 Taps,
Brianna,Yang,King Cole Bar,
Paris,Shea,No Vacancy at the Juniper Hotel,
Lilith,Moran,Hedley Club,
Grace,Santana,Tiki-Ti ,
Kane,Hamilton,Dante,
Shane,Tanner,Square Grouper Tiki Bar,
Madison,Huang,The Baldwin and Sons Trading Co.,
Davis,Parrish,Big Bar,
Corey,Bennett,Britannia Arms,
Miles,Greer,Mai Tai Bar,
Amanda,Blackburn,The Backbeat,
Melany,Bell,Coconut Willie's Cocktail Lounge,
Adam,Wheeler,Club 175,
Alana,Mckay,A.P. Stump's,
Kevin,Chase,Anvil Bar & Refuge,
Marcus,Gillespie,Tiki-Ti ,
Margaret,Turner,Altitude Sky Lounge,
Arianna,Gamble,Vesper Bar,
Devin,Munoz,Dram & Grain,
Paxton,Rich,Proof,
Marley,Estrada,Diamond Reef,
Evie,Lester,Half Step,
Jared,Dodson,Social,
Erick,Patrick,The Old Seelbach Bar,
Rory,Wilson,Julep,
Olivia,Mendez,No Vacancy at the Juniper Hotel,
Annie,Parks,No Vacancy at the Juniper Hotel,
Romeo,Mora,Bar Goto,
Sienna,Serrano,No Vacancy at the Juniper Hotel,
Michael,Schwartz,Billy Sunday,
Nova,Kaufman,Vesper Bar,
Brooklyn,Gallegos,Club 175,
Madelynn,Harris,The Blank Club,
Zachariah,Burgess,The Hawthorne,
Shawn,Franklin,The Capital Bar & Grill,
Sean,Greer,Billy Sunday,
Lola,Mcbride,The Silver Dollar,
Alyssa,Summers,Sassafras Saloon,
Gia,Fox,Caravan,
Joaquin,Kelley,Vesper Bar,
Scarlett,Armstrong,Bar Agricole,
Romeo,Sherman,Holeman & Finch Public House,
Nyla,Kerr,The Wayland,
Scarlet,Mccall,Dram & Grain,
Tatum,Roy,PX,
Ismael,Boyd,Coconut Willie's Cocktail Lounge,
Kimberly,Davis,The Wayland,
Oscar,Lutz,King Cole Bar,
Aidan,Boppana,Coconut Willie's Cocktail Lounge,
Natalia,Andersen,Sassafras Saloon,
Mabel,Gay,Cabana,
Catherine,Moon,Gecko Grill,
Oscar,Lutz,King Cole Bar,
Barrett,Espinoza,Seamstress,
Malik,Brady,French 75,
Santiago,Holden,BlackTail,
Gracelyn,Shepherd,The Capital Bar & Grill,
Emiliano,Duran,Half Step,
Laura,Castillo,Molly's Shebeen,
Joaquin,Rhodes,Spirit,
Ace,Washington,The Backbeat,
Devin,Munoz,Everson Royce Bar,
Preston,Cisneros,Anvil Bar & Refuge,
Marcus,Kemp,Club No Minors,
Arielle,Frey,33 Taps,
Khalil,Ochoa,McMahon's Public House,
Frank,Ayers,The B-Hive,
Lily,Hines,Galaxie,
Jace,Petersen,The Polo Lounge,
Zara,Hickman,No Vacancy at the Juniper Hotel,
Conor,Robbins,Mai Tai Bar,
Emilia,Huber,Britannia Arms,
Ellis,Stout,Altitude Sky Lounge,
Marco,Wang,Marvel Bar,
Ariana,Weaver,Julep,
Mary,Bennett,The Bar Room at the Beekman Hotel,
Samantha,Trevino,The Griswold Inn Tap Room,
Eden,Kemp,Barnacle Bar,
Stephen,Cohen,The Alembic,
Sylvia,Fox,The Sound Table,
Charlotte,Delgado,Eulipia,
Elsie,Boyd,The Backbeat,
Jane,Meadows,George & Dragon,
Danielle,Pittman,Anvil Bar & Refuge,
Maryam,Powell,Raven & Rose,
Felix,Phelps,Giza Hookah Lounge,
Ariel,Cervantes,ROKC,
Zion,Kennedy,Red Key Tavern,
Jordan,Nash,Blackberry Farm,
Marley,Estrada,Diamond Reef,
Edgar,Quinn,Charlie Was A Sinner,
Camila,Rodriguez,Sazerac Bar,
Atticus,Schmidt,Britannia Arms,
Holly,Stevenson,The Hawthorne,
Camille,Fletcher,Vesper Bar,
Albert,Gay,Barnacle Bar,
Derrick,Winters,Giza Hookah Lounge,
Yaretzi,Turner,Old Ebbitt Grill,
Hendrix,Cobb,Dutch Kills,
Bianca,Osborn,Sweet Liberty,
Robert,Mcgee,Vesper Bar,
Ellis,Matthews,Daquiri Time Out,
Chelsea,Lewis,ROKC,
Amara,Wells,Salty Dawg Saloon,
Angelina,Patrick,Barnacle Bar,
Alexandra,Griffin,George & Dragon,
Alessandra,Wiggins,The Hawthorne,
Oakley,Hill,The Whining Pig,
Atticus,Zhang,Proof,
Zion,Kennedy,The B-Hive,
Paisley,Khan,Red Key Tavern,
Miracle,Murray,Club 175,
Isaac,Petersen,The Dead Rabbit,
Carly,Acevedo,Big Bar,
Legend,Webb,Sassafras Saloon,
Theodore,Medina,Weather Up,
Angel,Chan,King Cole Bar,
Cali,Mosley,Bit House Saloon,
Lennon,Glass,Prairie School,
Evangeline,Patterson,Gecko Grill,
Scott,Reeves,ROKC,
Remington,Cowan,The Sound Table,
Otto,Church,Everson Royce Bar,
Odin,Garrison,Range,
Kamryn,Ayala,Dutch Kills,
Israel,Thornton,The Upstairs Bar at City Grocery,
Cody,Curry,The Wayland,
Miguel,Moran,Lost Lake,
Parker,Farley,Bar Crudo ,
Amber,Guerrero,Barnacle Bar,
Frances,Avery,The Silver Dollar,
Theodore,Rosales,Academia,
Dawson,Scott,Gecko Grill,
Madeline,Short,33 Taps,
Robert,Mcgee,Broken Shaker,
Lia,Hood,The Violet Hour,
Kenzie,Hogan,Seamstress,
Rachel,Nielsen,Multnomah Whiskey Library,
Amara,Wells,B.D. Riley's,
Annabelle,Willis,Barnacle Bar,
Cruz,Hughes,The Velvet Tango Room,
Elaina,Morris,Altitude Sky Lounge,
Ariella,Hill,Diamond Reef,
Taylor,Rodriguez,Galaxie,
Ayden,George,The Bella Union,
Victor,Saunders,French 75,
Damien,Bender,The Carousel Bar & Lounge,
James,Ballard,Cannon,
Adelyn,Dyer,Seven Bamboo,
Iris,Park,Blue Angel,
Kaylee,Rubio,Giza Hookah Lounge,
Messiah,Howell,Everson Royce Bar,
Karter,Hunt,Kon Tiki Restaurant Lounge,
Sullivan,Benson,Mai Tai Bar,
Ariella,Hill,Diamond Reef,
Ezra,Maynard,Tiki-Ti ,
Francisco,Parker,No Vacancy at the Juniper Hotel,
Jimena,Cole,The Wayland,
Amina,Mays,The Capital Bar & Grill,
Alan,Wiggins,Employees Only,
Simon,Parrish,The B-Hive,
Marco,Wang,Vesper Bar,
Oakley,Hill,Billy Sunday,
Alivia,Stein,Raven & Rose,
Donald,Hines,Hedley Club,
Kenzie,Hogan,Mace ,
Enzo,Harris,Broken Shaker,
Andres,Kemp,Range,
Leonidas,Hoffman,Barnacle Bar,
Harley,Wagner,Seamstress,
Augustus,Snyder,Half Step,
Malaysia,Dickson,The Whining Pig,
Nayeli,Arias,Marvel Bar,
Rylan,Vance,Million Dollar Cowboy Bar,
Lucy,Odom,Spirit,
Kaydence,Rowland,Club 175,
Penelope,Moss,Range,
Amanda,Blackburn,Raven & Rose,
Annabella,Burke,The Hawthorne,
Vera,Powers,Proof,
Heaven,Harmon,Barnacle Bar,
Emilia,Chaney,Mai Tai Bar,
Yaretzi,Boyd,The Whining Pig,
Legend,Webb,Half Step,
Sawyer,Santos,33 Taps,
Kamden,Deleon,The Polo Lounge,
Leonidas,Carr,Employees Only,
Weston,Gentry,George & Dragon,
Lia,Rowland,Big Bar,
Willow,Lindsey,PX,
Related Post,Blair,Seven Bamboo,
Tessa,Blair,Square Grouper Tiki Bar,
Annie,Parks,Blackberry Farm,
Iris,Ray,The Alembic,
Colt,Hooper,BlackTail,
Antonio,Barrera,Slowly Shirley,
Royalty,Rivera,Seven Bamboo,
Walter,Levine,Caravan,
Lyric,Boyle,George & Dragon,
Ariel,Cervantes,BlackTail,
Garrett,Chan,Club 175,
Olivia,Mendez,No Vacancy at the Juniper Hotel,
Hank,Church,Hedley Club,
Antonio,Herring,George & Dragon,
Catherine,Moon,Spirit,
Zane,Mays,Lost Lake,
Cameron,Buchanan,Holeman & Finch Public House,
Edgar,Blair,Sassafras Saloon,
Callie,Castro,BackBar,
Josie,Duncan,Range,
Haven,Wilkins,Academia,
Annabelle,Spence,Bar Goto,
Amanda,Stephens,The Magdalenae Room,
Sierra,Wilcox,Mai Tai Bar,
James,Monroe,The Polo Lounge,
Alexa,Hayden,Kask,
Avery,Tapia,Million Dollar Cowboy Bar,
Tate,Jimenez,Gecko Grill,
Leonel,Thomas,The Violet Hour,
Arthur,Lucas,Gecko Grill,
Xander,Stout,Mace ,
Cali,Mosley,Bar Agricole,
Lia,Hood,Room 11,
Millie,Young,Spilt Milk,
Emersyn,Goodwin,The Silver Dollar,
Juliette,Mata,Club 175,
Walter,Nash,Gecko Grill,
Cameron,Buchanan,Holeman & Finch Public House,
Leonidas,Hoffman,Barnacle Bar,
Jesse,Ayala,Range,
Micah,Herrera,Anvil Bar & Refuge,
Greyson,Kaiser,The Magdalenae Room,
Jace,Petersen,Donna,
Damian,Franklin,Mace ,
Jude,Soto,Dutch Kills,
Charlie,Haney,33 Taps,
Josiah,Barnes,George & Dragon,
Abel,Kelly,Broken Shaker,
Lilith,Moran,Slowly Shirley,
Walter,Nash,Spirit,
Jude,Costa,Bar Crudo ,
Ellis,Stout,Bar Crudo ,
Marley,Gomez,Cabana,
Christopher,Anthony,Blackberry Farm,
Genesis,Lynch,The Kill Devil Club,
Nathan,Colon,Salty Dawg Saloon,
Louis,Brennan,Everson Royce Bar,
Ellie,Jackson,Leyenda,
Stella,Casey,Barnacle Bar,
Kade,Yang,Marvel Bar,
Ellis,Stout,Seven Bamboo,
Caden,Meadows,Club 175,
Legend,Tate,Holeman & Finch Public House,
Jeremy,Mosley,Club 175,
Victor,Lester,Club 175,
Khloe,Lyons,The Dead Rabbit,
Jessica,Solomon,Range,
Lawson,Robertson,Julep,
Amiyah,Cowan,The Kill Devil Club,
Aidan,Boppana,French 75,
Sawyer,Santos,King Cole Bar,
Yaretzi,Turner,The Bella Union,
Cheyenne,Rowe,Attaboy,
Holly,Bates,Molly's Shebeen,
Aubree,Mcclain,Half Step,
Adaline,Ortiz,Half Step,
Amanda,Blackburn,Blue Angel,
Jaden,Velasquez,The Alembic,
Josiah,Barnes,McMahon's Public House,
King,Michael,Distil,
Ariana,Weaver,Dutch Kills,
Braxton,Jimenez,Proof,
Dean,Weber,The Backbeat,
Sawyer,Wright,The Magdalenae Room,
Sabrina,Pena,Half Step,
Mariana,Mack,The Polo Lounge,
Griffin,Fernandez,Mai Tai Bar,
Caiden,Sanders,Million Dollar Cowboy Bar,
Braylon,Rich,Holeman & Finch Public House,
Ezra,Maynard,Tiki-Ti ,
Ashton,Gilbert,Club 175,
Owen,Trujillo,ROKC,
Wren,Jennings,The Whining Pig,
Jimena,Cole,Tiki-Ti ,
Raelyn,Knapp,Prairie School,
Andy,Greer,Half Step,
Odin,Garrison,Britannia Arms,
Adam,Manning,French 75,
Annie,Parks,No Vacancy at the Juniper Hotel,
Yaretzi,Boyd,Clyde Common,
Sean,Greer,Clyde Common,
Lyric,Boyle,George & Dragon,
Odin,Garrison,Range,
Scarlett,Douglas,Prairie School,
Noah,Douglas,Red Key Tavern,
Josiah,Lucas,Million Dollar Cowboy Bar,
Francisco,Kerr,Voodoo,
Braylon,Miller,Mace ,
Lawrence,Ward,Gecko Grill,
Derek,Lindsey,Dante,
Daniella,Kerr,Kask,
Augustus,Watkins,Taste by Niche,
Tanner,Shaw,Hedley Club,
Maria,Hays,Altitude Sky Lounge,
Braylen,Cameron,Sassafras Saloon,
Aaliyah,Kidd,Britannia Arms,
Adaline,Arnold,Club 175,
Asa,Diaz,Academia,
Devin,Munoz,Prizefighter,
Charlee,Swanson,Club No Minors,
Ariyah,Powers,No Vacancy at the Juniper Hotel,
Piper,Crawford,The Kill Devil Club,
Piper,Costa,The Old Seelbach Bar,
Mark,Brennan,The Upstairs Bar at City Grocery,
Daxton,Castro,Gecko Grill,
Josephine,Wheeler,Dram & Grain,
Mabel,Pratt,Range,
Lane,Olsen,Bar Agricole,
Dawson,Scott,Gecko Grill,
Charlie,Haney,Caravan,
Valerie,Gould,Million Dollar Cowboy Bar,
Marcus,Stark,The Wayland,
Josiah,Barnes,Million Dollar Cowboy Bar,
Vera,Powers,Dante,
Rowen,Ferrell,Red Key Tavern,
Luciana,Cantrell,French 75,
Quinn,Montgomery,Julep,
Ariyah,Powers,The Dead Rabbit,
Braylen,Escobar,The Wayland,
Maddison,Rowland,Coconut Willie's Cocktail Lounge,
Nathan,Colon,B.D. Riley's,
Ayla,Zamora,Range,
Matias,Snyder,Spirit,
Edgar,Quinn,The Bar Room at the Beekman Hotel,
Tucker,Huynh,The Alembic,
Nylah,Vang,Prairie School,
Kennedi,Patel,Leyenda,
Theodore,Medina,Academia,
Adriana,Pace,The Blank Club,
Atlas,Shelton,Spilt Milk,
Jayleen,Curtis,Prairie School,
Kylie,Stevenson,The Alembic,
Leonel,Horton,Distil,
Gregory,Houston,Range,
Lennon,Glass,Holeman & Finch Public House,
Harley,Gamble,Attaboy,
Stella,Casey,Barnacle Bar,
Landen,Warren,Spilt Milk,
Melany,Bell,French 75,
Nova,Kaufman,Red Key Tavern,
Madeline,Colon,The Silver Dollar,
Walter,Hurst,The Sound Table,
Phoenix,Todd,The Old Seelbach Bar,
Luis,Chang,Salty Dawg Saloon,
Marcus,Stark,The Wayland,
Jay,Morales,Britannia Arms,
Michael,Schwartz,Clyde Common,
Bowen,Duarte,Giza Hookah Lounge,
Antonio,Barrera,Hedley Club,
Brooks,Hampton,Marvel Bar,
Erick,Patrick,Hedley Club,
Amelia,Miller,The Dead Rabbit,
