BillID,FirstName,LastName,Total,
TST-3D53B23AABEAFD31,Wesley,Krause,287.66,
T-5E9869E1391DA0C5,Corbin,Shaffer,365.98,
D-0589922758612D94,Eva,Dickerson,605.1,
AS-4E8D6D3EB7E6F082,Major,Blankenship,319.44,
CC-EE5E3B4A7E098307,Josephine,Holden,452.93,
TA-EC53993F5D113426,Bella,Burns,462.58,
BC-A5E7453CF940B999,Mira,Parks,294.0,
B-809B0B1A55FA9547,Annalise,Maxwell,390.86,
GG-2A65817383C1B2F1,Owen,Hale,219.88,
H&FPH-869DA8DB8E772C34,Clayton,Armstrong,284.34,
M-846EAF897548BC6A,June,Pollard,371.4,
SDS-5D0D9E58907E63F7,Jaxson,Cervantes,629.87,
TDR-459DC536EFDFA36E,Anna,Blanchard,292.98,
ERB-99ECDCA94D67E512,Theo,Weeks,413.4,
BS-55FAE91D7B9E870C,Pablo,Noble,245.7,
BC-3D92DAE8AA77E23A,Sophia,Wall,194.38,
R-1B34E3FCD3E5D523,Jaxson,Singleton,80.31,
DTO-FF7A66C047B4A7E8,Blake,Valencia,239.64,
TST-F128E95B8D7B7E66,Donovan,Martinez,319.2,
TBRATBH-E3942B3717737241,Josue,Sandoval,380.87,
BF-E35FBCD174A8AFFD,Aviana,Wilkerson,206.95,
TB-1B1E2D97C40A893D,Lena,Franco,420.55,
G&D-C99FE89D393C4011,Amy,Sherman,334.78,
SS-7C6D5A3E177B2E4E,Justin,Chan,149.67,
SS-51698944B42D59E9,Robert,Kirk,679.75,
MTB-C5E1AC35B213046D,Alejandro,Barker,201.0,
CWCL-BFE677B5EE792D11,Lena,Martinez,141.84,
TUBACG-5B146D595237BC0E,Michael,Harper,217.73,
EO-662DD8B8B0993520,Francisco,Pugh,264.29,
K-BE05B3956CB875DF,Davis,Jennings,335.65,
VB-AD6353796CAD7CAD,Kason,Haley,324.6,
C-99BE9347B2ADEAB3,Austin,Dickerson,378.81,
A-6FAF5B8836BF4D38,Malachi,Meyers,366.78,
TBC-55AEB36FE98FCEEB,Nathaniel,Hobbs,430.75,
VB-7D9BB6A964A35E63,Jeremy,Wheeler,373.2,
TGITR-A02F4583668826A4,Related Post,Kane,128.98,
NVATJH-8AB036ADF4C94914,Amy,Perez,287.4,
P-5B17704A3D60577D,Thiago,Shannon,366.83,
T-9FDF7595D369B0A0,Chloe,Castro,525.26,
H&FPH-52E4B9ED0F7EDAE9,Maryam,Hudson,151.46,
SS-F946685360C41DBA,Grayson,Dickson,334.13,
BC-709C2A7B5A3F1F1A,Marco,Evans,407.64,
B-EB542AE29711B26D,Carly,Duffy,105.89,
BB-3BDBC29ACFDC5D57,Edith,Johnston,103.5,
GGJ&MB-27B7CF96BF352EB4,Donovan,Martinez,570.3,
GHL-C38B93FA92045B2A,Avery,Tate,229.76,
F7-34E78F9EC143971E,Lia,Dawson,322.39,
H&FPH-6C8F043BA708AFCE,Aviana,Wilkerson,421.14,
BA-DF8271F971EFD97F,Legend,Lawson,272.93,
SGTB-0EB4DE410CC2B6C6,Maria,Todd,80.4,
MB-C7EFFC940F01D27F,Axel,Mitchell,299.06,
TUBACG-8F0E7F7B9DB21CE8,Eduardo,Pearson,42.56,
MR-B8A2E21E3365F672,Ezequiel,Whitney,430.76,
BS-CE054820DBB9A9B4,Alejandro,Harris,303.24,
BB-4B72BF88397A697F,Mira,Parks,246.85,
BB-C35B64BA233731C6,Xander,Kent,333.85,
TH-C91F8B2EF6FFB28A,Angelo,Fernandez,653.62,
SB-B0616AB434F9EE32,Shelby,Hampton,317.93,
MB-AEFEBDA67CBDB650,Nasir,Hartman,110.1,
GHL-AB0480F37FD26A5D,Daniela,Mosley,535.41,
TBU-10A5AB9C6CE16DD2,Michelle,Navarro,517.43,
TBU-0A7D30831043B129,Kathryn,Knapp,335.08,
SB-0A6481122A849644,Preston,Bruce,310.16,
TBN-5691366C0EE79AC2,Peyton,Church,278.36,
CWAS-88552B5289B3CA9F,Rory,Blackburn,297.25,
D-71C3072BD7F1DFD8,Hudson,Cole,182.06,
TCB&G-2C553ECAC15833DB,Derek,Abbott,486.25,
TB-44669D1215A2E957,Holden,Bentley,505.76,
SB-7C6F82533C5B9716,Hank,Ashley,266.7,
D+C-FB53731D2AB4319B,Orion,Dillon,258.58,
HS-EC747891B17B6C47,Enrique,Hayden,46.75,
GG-E814DD7828756F3D,Alex,Richards,224.09,
C-11371B878F041D0F,Brynlee,Dalton,352.1,
TDR-331966178270E908,Zuri,Cooley,411.25,
D-BA1F1D58726AF7E3,Sterling,Frey,126.6,
LL-E18D5D63B68F27D8,Saul,Sullivan,357.89,
OEG-22F66CDFF43D0881,Ariyah,Peters,527.1,
3T-12EDFB093E066522,Sarah,Holder,405.3,
B-545FF4BC6D52611D,Chelsea,Burch,382.98,
C-8ED76546C0C0E249,Princeton,Riley,326.4,
TW-7A1149AD4563916E,Maria,Olsen,20.4,
CNM-9850391C8BD88DEF,Viviana,Robles,257.03,
SM-9A89D25914C43BAE,John,David,231.24,
V-ECCA1EF7D660484F,Nash,Simmons,237.9,
H&FPH-1E5E7BF5E1367EF3,Mckenna,Rubio,259.13,
MS-26B394F7B2A0C140,Madelyn,Meyers,519.6,
BA-5C730F7193B67FE3,Charlie,Holmes,550.48,
V-F31B535E42A8EC3F,Grayson,Dickson,443.39,
T-A7E5B9E458DFFB4B,August,Moore,117.0,
HC-1BBF6101A813D5D7,Collin,Fisher,76.45,
BS-994795AFDF0AE3D8,Francis,Shepard,411.88,
WU-F93B59E61B137513,Demi,Grimes,480.17,
BA-18DA45167A457E5D,Frederick,Houston,407.35,
LL-3A848F12DDE46490,Heidi,Robles,403.75,
IF-F28FAF883E86D6AA,Jessica,Tucker,28.5,
R-9A7DD32E388682E3,Jeremy,Franklin,265.73,
L-DA9370CCBE06A6B2,Porter,Rich,362.06,
R-85CB88FAAB03EF4D,Miriam,Zhang,388.49,
SDS-DB82327005B77B2E,Eva,Bond,285.9,
IF-B2D7FAB7B3530E00,Wade,Lucero,587.01,
TSD-3D291906461F6D6B,Malik,Nguyen,600.3,
TBASTC-9098B7167CDA91EF,Makenna,Vaughan,318.9,
CNM-10CDAA71E82CC30E,Olive,Marsh,422.34,
BS-ABF7E8123B342831,Michael,Oneill,213.89,
TA-90F4DC4D9C84CD01,Emily,Valdez,171.9,
BT-548E4A634F96E082,Emilio,Black,329.4,
IF-703EC992A31B6E73,Adrianna,Wilkerson,398.62,
TGITR-D576ED2AC368C2E1,Daxton,Burgess,62.7,
P-11BA380B98989EC6,Maximiliano,Young,357.85,
H&FPH-ACCA66E7B52C5B0F,Grant,Dyer,571.71,
TO-F0EE3549453EA620,Declan,Beard,335.33,
IF-98CD13AA233F978B,Violet,Lawrence,264.55,
TVH-D709504AFEA6C9D5,Isaiah,Burch,286.18,
C-A8C2A32BEADA83D6,Justin,Duncan,272.96,
BHS-3409B211BF30F1E4,Anna,Ward,140.38,
M-1EF697AB174DC65E,Jade,Macias,376.19,
ERB-71AFF3F3290098DE,Maximus,Duffy,128.35,
3T-45851271FC4C46AE,Trenton,Friedman,260.36,
GGJ&MB-ED8B965FD271D1F1,Jenna,Villa,77.35,
PS-FCCD63767B70426B,Marley,Patton,376.7,
TB-7DDDE0E19755366D,Chloe,Castro,417.85,
SDS-332A9B4478D4104D,Selena,Morris,315.9,
PS-7EF60B79DC745A45,Juliet,Young,215.99,
M-15FA002F20DBC45B,Tate,Freeman,189.9,
OEG-222CD73F96F75282,Cataleya,Carney,375.3,
ASL-E8CB8AD95E24B451,Asher,Ray,645.12,
AS-BAAB07A9C8528BE0,Zayn,Weiss,48.59,
S-6CC7A9409F411AC5,Holden,Hunter,399.0,
TBRATBH-735EA4ECB43C36E0,Kimberly,Holt,559.09,
O-BCC92AD6F2D8F1FC,Kason,Wiley,463.45,
TPL-C3557B2843F867CA,Xavier,Schaefer,120.89,
TPL-44EF45A7396C661C,Emiliano,Parks,352.49,
SGTB-F07B5A405E562DFE,Luke,Hoffman,238.79,
VB-390B051F03C6D48D,Leonardo,Dawson,126.6,
A-5A7110939A49AD92,Gabrielle,Solomon,136.8,
C-48751A8EC904F3AF,Otto,Simpson,668.92,
SS-1282945755B67C81,Ismael,Blanchard,287.31,
TGITR-B6027187A3E87124,Nasir,Estes,404.65,
PP-3BAD203B1B98D698,Malik,Nguyen,182.05,
TCB&G-10F646DE94DA7F9B,Daniela,Mosley,332.7,
IF-522024FCF63C1293,Jacqueline,Monroe,370.44,
TVTR-58F32575175624CF,Skye,Herrera,260.28,
TSD-7E53062BC1CF6187,Maria,Bentley,323.94,
MR-785FF07A6A4F7A27,Adriel,Estes,178.78,
HC-38CAA4D39C992B86,Ella,Dean,264.3,
P-6A80404281956E58,Gianna,Greene,297.6,
P-ABA21F09FDBFAD7E,Zayn,Weiss,59.1,
TST-BF78AC1FB728EB39,Bruce,Stephens,380.33,
TCB&G-C56FEF2459A26EC8,Lauren,Frye,605.61,
S-C09125AD548DD82C,Nora,Herman,355.15,
EO-59C7A1FDEF097BF5,Maggie,Cervantes,63.0,
CWCL-DB7884D9E192E3A1,Jay,Key,243.83,
OEG-0740EEB2BFD1A8DD,Luke,Hoffman,513.54,
ERB-303100B43789D5E7,Karter,Wheeler,235.74,
SL-118CD5F917BAB5BD,Daxton,Burgess,183.88,
BR-91F673EA839C5390,Kason,Haley,315.9,
BB-6914D90083091970,Addison,Hopkins,557.65,
SDS-55DB4C391B0C87D2,Daniella,Lang,354.51,
BA-1AD9C993A75A26D7,Kelsey,Wilkerson,323.95,
DTO-6B5C9CD0FEE72CF6,Daniel,Crane,258.0,
NVATJH-AB7AF846B8750B0E,Muhammad,Hess,402.58,
TSD-C9F216BB39D01B6B,Finn,Russo,218.1,
BA-1A1127DB68B7A958,Nayeli,Mcdaniel,430.49,
L-C6B175A11F3801DA,Raelyn,Sweeney,258.23,
TB-A8501AB03A645131,Genesis,Whitehead,365.01,
K-43BAD44EE4E2BB26,Kennedi,Murphy,373.2,
BA-1A9E245A98EB6147,Ruth,Berg,76.5,
MR-895FA0630D7E5DBB,Logan,Calhoun,204.27,
CC-6F34F860358089B2,Garrett,Frey,367.45,
HC-E97B39140DEABA74,Lucille,Goodman,384.9,
M-8AC3CAE8CDC73121,Kamden,Henderson,256.78,
BA-AF81160714DAA3ED,Mabel,Larsen,207.0,
TA-B25120FFBDBD2895,Ashley,Guerra,327.0,
TPL-461F288E98A6CF01,Georgia,Krause,249.3,
BTB-EB81BC6D977B374A,Katelyn,Wade,176.35,
TH-76680D89ADCF1B28,Olive,Marsh,374.96,
C-7189E6340B10D53A,Madelyn,Meyers,339.51,
SM-85A9AA554E98CD9C,Violet,Lawrence,112.5,
H&FPH-A68E47610813756A,Lucille,Goodman,364.45,
B-76A55044FD31917D,Daniel,Jones,145.73,
S-3E4B0142A2917FF7,Ali,Villa,91.17,
AS-CEB605ABF6F7AFB9,Milo,Vang,374.0,
RKT-EE3DFADF43438A17,Esteban,Pratt,455.92,
HC-B7D0CBF73B4F547F,Hunter,Cardenas,229.75,
SDS-2665394194BE4715,Mateo,Fuller,365.04,
BG-D0766D7CE548213B,Brinley,Fry,149.67,
BB-7BD2C8A7688FC9CE,Tate,Vang,293.04,
BTB-D68E5649D3B91FEE,Lucille,Goodman,152.1,
RKT-32AA750FB51D519E,Gemma,Esparza,341.63,
TUBACG-B51C33FE5B92FC62,Emma,Huang,305.35,
BA-1B0AD800C270C92F,Rosemary,Pena,308.62,
TST-08797EF04855D7E6,Riley,Schmitt,572.7,
P-CCB393394C270D18,August,Gonzalez,323.4,
CWAS-648ACE6255E904A3,Simon,Cox,593.32,
E-C48F3EAB22C87A08,Martin,Mays,231.55,
SS-BDBE60309245A1A4,Bentley,Wu,544.69,
S-556FAA0836472B9F,Colton,Leonard,364.38,
D-431D76B314E99A7D,Aria,Sosa,200.65,
BB-4FCE8EA381258988,Nathaniel,Gilbert,372.29,
MWL-B721234BEA80B0F9,Aaron,Parker,457.95,
G-20967A4314BE511B,Lucille,Goodman,255.3,
TH-2C21DB9715563B7D,Braelyn,Vaughn,252.9,
PP-A6D2B8A0474E2BB8,Related Post,Finley,125.05,
TSD-6E394AC18581347E,David,Delgado,136.8,
H&FPH-21E9E79420AD41DF,Margaret,Mcintyre,220.46,
K-411147CBD8413E69,Ariel,Bauer,289.2,
TCB&L-1A4C14A921886668,Addison,Hopkins,253.5,
MTB-C8381433EFF1D1B9,Jacqueline,Monroe,198.3,
T-43E3D3CB580A6769,Carson,Chambers,457.78,
D-ADB1F58F6CD8E44E,Elliana,Meyer,406.44,
BR-D731DBE40FB228B9,Troy,Conner,258.0,
KCB-51794FE34241EDFF,Valeria,Clay,240.78,
BR-F9A11B3380012DB2,Gia,Blackwell,325.5,
BA-A7A4DD4AE78F2318,Scarlet,Rangel,461.65,
SM-968F3D45601EBF1C,Braylen,Atkins,478.49,
C1-C5A6925B0E350242,Kamden,Conner,114.86,
E-43735C27575173C7,Vanessa,Franklin,42.26,
TB-4F97DAEB1C54175E,Kensley,Blackburn,316.76,
GHL-1E626FF59D6E08FF,Jason,Kelly,530.61,
SL-34B8996CDFF06F93,Braxton,Walker,261.0,
O-0E55C0A08D126B10,Joanna,Garrett,176.08,
TO-95B5D80E38D3E413,Corbin,Shaffer,245.0,
RKT-613D444E10CADFC3,Ellie,Rubio,467.83,
TCB&G-2F8E6E59C8041622,Journey,Dickson,550.44,
TWP-2E78132BA066C8EB,Paxton,Walsh,370.48,
A-B56EF8510A4B729E,Aria,Walls,381.2,
DR-646F246FA359EBD0,Diego,Ryan,382.73,
P-0C289AFDBF86AB82,Diego,Hart,272.68,
G&D-D472E6E3CA905A54,Related Post,Houston,358.17,
BG-0EF7903D7FAC0A55,Michelle,Navarro,548.6,
BA-5EF30A6BF66490BE,Sophia,Petty,331.78,
DR-4FED828A95544B2C,Rhys,Rowe,183.56,
BTB-520A1CD7B744E8F5,Lila,Hinton,328.76,
MB-5D1C79C7A40A0F15,Owen,Hale,255.3,
ASL-63C4762D59C29EBD,Haley,Oconnell,233.1,
TST-A0428FDFA6E7FA79,Ismael,Blanchard,157.5,
BA-121EF7F76C6D6BB9,Elias,Todd,278.08,
TWP-BDF4BF520B9E0A7E,Princeton,Riley,239.05,
PP-31151CD7A1E5C3DB,Declan,Rhodes,626.95,
MS-A49BEBF0462C1B61,Tatum,Burns,526.74,
ERB-29312A54BBC49F2A,Gianna,Greene,153.9,
MR-9BA553046BC22B6C,Lennon,Larson,328.2,
BR-DA427401EA6706CF,Kyler,Chapman,189.58,
C-28C2EA493AD14EC9,Stephen,Rosario,158.98,
HC-A19CFBF68408C17C,Amiyah,Schwartz,290.37,
BTB-B8702D2F2DB4318C,Paisley,Mcmahon,178.5,
TPL-04F1B694CFD07D19,Noel,Wood,171.24,
SS-16C00EE13BD3FA5C,Eden,Leonard,318.56,
SB-FE039AF0E4631A8D,Simon,Cox,130.16,
NVATJH-015798BC44E6FF31,Quinn,Petty,598.69,
SS-0619AF61F01D0394,Allyson,Powell,113.94,
TCB&G-6BAC1BFB002FFC5E,Holden,Bentley,366.88,
SB-A1DB87CDA9C1FE41,Ashley,Guerra,409.09,
C-252035128A30D980,Martin,Butler,249.55,
SGTB-C42D68AC5E23C506,Reid,Wade,273.0,
V-A2BB16285A0FDE55,Jason,Fernandez,180.0,
TBU-EFFA16ED236BAF14,Gia,Blackwell,468.26,
TB-19800B6EF2C8C4B1,Ellie,Wilkins,195.89,
AB&R-B291E753C7F810DC,Alaina,Tate,482.9,
BC-CDE2F1BE1DD1941D,Adrianna,Wilkerson,398.09,
AS-03507F51555288A9,Benson,Graham,284.65,
D+C-1949BB71FE9057B4,Brynlee,Mejia,129.9,
PS-9F3F12D1DB7AE27B,Jax,Stanley,42.6,
G&D-F4ECE3F4C58F6279,Felicity,Warren,62.7,
D-07B58857F2A2AADF,Andrea,Estes,160.19,
VB-53060B00FDEA90FB,Sarah,Holder,356.38,
TOSB-BFA8F017FB6B8E31,Iker,Gallegos,501.52,
D-2983EEAA3612B6BB,Izabella,Turner,427.8,
IF-F168E0BA37BFF7DE,Andrea,Estes,294.2,
A-B16ABCAB6370F2EE,Ashlyn,Brady,443.95,
E-A2FDEBD7EE98C7EA,Jeffrey,Fritz,343.09,
MTB-094E03358F848651,Michael,Oneill,204.54,
TW-E56169F4C2491524,Abel,Walters,208.43,
D-FBE1840DF92B9BD6,Hayes,Mcdonald,254.7,
T-167EBEF09FF52B55,Zoey,Parker,398.1,
TUBACG-7289FAF93080A71F,Tate,Freeman,182.09,
SS-FA6DD2F89459CFF4,Elliot,Lindsey,292.46,
DTO-F370610EB8E9F420,Cassidy,Montgomery,403.41,
C-F3A933EEC7B9C1C8,Eleanor,Bonilla,301.5,
ERB-271DEAE70B1BD556,Harper,Farley,182.38,
G-9EAEDA4F85B5BFA5,Mateo,Fuller,171.3,
SM-80B9F4ACD7EAD733,Muhammad,Hess,133.8,
AS-602F7C1E50990445,Zariah,Evans,393.88,
TD-642904889831C952,Tessa,Cowan,556.97,
LL-46AD0CDF8B34F21F,Desmond,Wright,166.8,
BS-A35873F75F413D78,Collin,Decker,325.19,
R&R-3DE81939E5D45F9D,Genesis,Crane,282.0,
BA-2D7869032ECC8C72,Jazlyn,Hicks,386.05,
BS-5399264DA738568E,Bruce,Stephens,494.4,
RKT-105FFD6467312E9E,Nolan,Reynolds,203.0,
BR-18EF90779CA809E8,Liana,Wilkins,78.6,
CNM-FD61FDBA85C35A55,Ismael,Huerta,286.75,
MB-CD5D71D314A97D06,Melissa,Burke,138.25,
GG-87F0F1AF30763A19,Asher,Ray,228.9,
HC-ED056DE3152266AB,Gabrielle,Solomon,634.38,
P-D8B5F7895FCDBB2D,Kash,Lindsey,123.9,
MTB-5EEC393B32EDD856,Lilly,Sawyer,261.23,
HC-5049BE191D97E233,Kennedi,Wagner,410.01,
L-008810AFD762D15B,Lane,Gomez,170.96,
H&FPH-B3BF3E4FF131E085,Maria,Bentley,273.86,
A-4E39C9C7FB6E4A9C,Eve,Valdez,296.38,
TCB&L-555A58F4344F5691,Tristan,Huber,66.0,
K-468E47E3C9A3EBD3,Tyson,Mcconnell,195.9,
BS-D5B45D24A857AC4C,Juliet,Young,507.29,
R1-5E8AEE21C776CE45,Annalise,Maxwell,283.44,
DTO-7D2EC89BA0736292,Ayla,Mccarthy,225.59,
IF-CD385DA5E5F8C515,Jude,Harrison,173.99,
S-93A1FFCCD6A504B2,Gracelyn,Dunlap,257.63,
C-92A0B5958A23BA75,Dominick,Holder,289.75,
L-603A06D826419435,Melanie,Gutierrez,340.73,
R&R-E20DB61A57919418,Freya,Patterson,155.1,
TW-2BEBD4A921AF7CD1,Ella,Dean,299.9,
BS-EEBCA716CDBF3B36,Cataleya,Chang,294.6,
TKDC-107C627C091ABAF5,Violet,Lawrence,430.71,
L-8AF8E921C0564F86,Ezequiel,Whitney,358.8,
T-A917E9BB840D8836,Elliana,Powell,395.4,
TBC-04244D2FD1A9887F,Wyatt,Blair,177.3,
MS-B760FAB3B5AE5333,Rafael,Myers,382.15,
A-77BD7D2A674A8171,John,David,392.04,
G-B3206014E3E046C1,Grayson,Orozco,380.94,
BT-C3B5CD955C2BE9E2,Elizabeth,Brandt,294.0,
TST-3E6950FE04EE78DE,Saul,Barnes,180.84,
CNM-E0F77442010D5294,Shane,Warner,280.69,
R&R-ECE4DA4A466FC0D4,Dalton,Williams,421.73,
BB-F98836DAE5D4C053,Braelynn,Romero,259.8,
KTRL-3BBCADD6005E9701,Legend,Lawson,452.27,
C1-05C99037E6C37AB8,Mario,Norton,188.1,
D+C-69EA02C35AE1FAC3,Kendra,Mcintyre,175.46,
MDCB-EAB3CE41DFE42AF4,Grant,Black,75.29,
H&FPH-11FE5EE8C958A913,Andrea,Estes,274.78,
ASL-1AAD88E01EAFB2BB,Hudson,Cole,165.57,
3T-C462A1E21DAD4E05,Olive,Shea,724.18,
D-359870F8CA015CC1,Jaxson,Cervantes,166.46,
A-1A67F74DA5B12745,Lucia,Reese,457.46,
RKT-654360EBE285EC32,Raven,Doyle,315.77,
D+C-ABF7198CDD6C516C,Justin,Chan,302.94,
V-A7D69FDBC41FFDAF,River,Poole,309.24,
C-03754B6524BBD65B,Conor,Farley,313.76,
SM-FDB85AD701A10B91,Leon,Hardin,295.8,
D&G-4D3F6082D9F7B337,Ezequiel,Brady,288.81,
ERB-7DF95A700E24F175,Aria,Wade,55.2,
TB-071BFF6207D683B0,Nia,Sullivan,404.57,
MS-C5C585DE991F5595,Leah,Mccoy,317.1,
SGTB-4AB93F6D16CD9582,Lennon,Larson,286.2,
M-A25B834623F69EB2,Leon,Hardin,361.78,
G-29C42BEDA172ABEC,Chandler,Mclean,292.74,
S-5FEEFF9FA99CCF09,Sawyer,Costa,307.13,
P-47ADCDCE1812C23C,Lennon,Larson,267.3,
GG-103E86F1B1EF0E14,Declan,Parrish,303.86,
P-D50776FF3E429160,Jimena,Bridges,311.67,
MS-3A8DB876145F815C,Kimberly,Crawford,40.5,
BTB-F40558F8D7E97134,Haley,Nicholson,448.38,
MTB-015D4A3D7104529F,Porter,Dickson,210.28,
CWAS-CBE5BD8CE8DFE90F,Related Post,Wade,408.28,
TKDC-43515CC96DF8D5F8,Kyla,Berg,239.89,
R&R-FFA63C390139C7E9,Jordyn,Hays,359.05,
R-BE215DD7419FBF6B,Ellie,Rubio,177.3,
C1-548FCD26E807016E,Reed,Chang,307.75,
TCB&G-FF3D8FA541DD1196,Madilyn,Delacruz,286.2,
TKDC-E972764C9C9FB6B1,Leah,Mccoy,678.46,
BA-F528A3E7CC923671,Diego,Ryan,169.5,
PP-F86952C976DD08B2,Robert,Shannon,336.55,
MDCB-BB707C74DB2ECDE9,Raven,Doyle,435.49,
LL-5BDC19281BF50F84,Connor,Arnold,44.09,
RKT-611C2F8492A3AE7A,June,Pollard,254.64,
K-7C2B266C2721A8AD,Hayes,Mcdonald,183.29,
DTO-A3AD4DD8CBA907B0,Moises,Hale,301.45,
MTB-239AC5DFD3CEA599,Braylen,Atkins,80.7,
CC-7AE7ED7E82352710,Esmeralda,Ellison,397.68,
NVATJH-C1CE89B90F92384F,Major,Duffy,227.7,
P-8B4D4F27C0FF8110,Kyler,Chapman,168.53,
P-307DF34CE0073C7C,August,Gonzalez,54.0,
TMR-FC0B06F912F60DC2,August,Gonzalez,305.39,
K-3A06566F819E34A4,Felix,Guerrero,404.93,
D-620E71D7FDADCAE7,Lyla,Cook,187.2,
BA-2859BC9DEC247100,Alivia,Irwin,297.6,
TB-F2427ABB817C411F,Holden,Hunter,401.37,
WU-04BC4C9F1E4F69F3,Nathaniel,Gilbert,211.14,
V-82F50FAE2474A96D,Jason,Fernandez,237.9,
TOSB-0EBB1A3A14BF65AD,Felix,Guerrero,291.79,
C-B70F1777BAB85083,Isabelle,Jones,338.7,
TST-4C0A94378DD4EB3A,Isabella,Cervantes,307.5,
R1-33BFD76C15E3D76C,Holden,Hunter,474.6,
TD-2B7020AFDF82D098,Olive,Shea,116.68,
CC-1CE6DF5FA7B9B479,Ana,Rich,461.06,
J-14688D475E00D31E,Jude,Harrison,357.56,
M-BD08F22AEE1BF5AF,Nevaeh,Solomon,135.0,
TB-AC78778272DCD242,Joshua,Walter,421.74,
